キャラクター,タイトル,
森里 螢一（もりさと けいいち）,ああっ女神さまっ,1
ベルダンディー［Belldandy］,ああっ女神さまっ,
ウルド［Urd］,ああっ女神さまっ,
スクルド［Skuld］,ああっ女神さまっ,
リンド［Lind］,ああっ女神さまっ,
ペイオース［Peorth］,ああっ女神さまっ,
神様 ［Almighty］,ああっ女神さまっ,
トルバドール［Troubadour］,ああっ女神さまっ,
セレスティン ［Celestin］,ああっ女神さまっ,
モルガン・ル・フェ ［Morgan］,ああっ女神さまっ,
フレイア ［Freya］,ああっ女神さまっ,
エイル［Eir］,ああっ女神さまっ,
エイル & サーガ ［Eir］ ［Saga］,ああっ女神さまっ,
アンザス,ああっ女神さまっ,
ティール,ああっ女神さまっ,
システム管理神,ああっ女神さまっ,
エレ ［Ere］,ああっ女神さまっ,
エクス ［Ex］,ああっ女神さまっ,
クロノ ［Chrono］,ああっ女神さまっ,
ヒルド［Hild］,ああっ女神さまっ,
マーラー［Marller］,ああっ女神さまっ,
魔神千兵衛（まじんせんべえ）,ああっ女神さまっ,
ヴェルスパー［Welsper］,ああっ女神さまっ,
ハガル ［Hagall］,ああっ女神さまっ,
エイワズ　［Eihwaz］,ああっ女神さまっ,
モックルカーヴィ ［Mokkurkalfi］,ああっ女神さまっ,
スリュム ［Thrym］,ああっ女神さまっ,
アールヴァル ［Halval］,ああっ女神さまっ,
森里 桂馬（もりさと けいま）,ああっ女神さまっ,
森里 鷹乃（もりさと たかの）,ああっ女神さまっ,
森里 恵（もりさと めぐみ）,ああっ女神さまっ,
藤見 千尋（ふじみ ちひろ）,ああっ女神さまっ,
田宮 寅一（たみや とらいち）,ああっ女神さまっ,
大滝 彦左衛門（おおたき ひこざえもん）,ああっ女神さまっ,
今井 孝美（いまい たかみ）,ああっ女神さまっ,
青山先輩（あおやま）,ああっ女神さまっ,
長谷川 空（はせがわ そら）,ああっ女神さまっ,
近藤（こんどう）,ああっ女神さまっ,
三嶋 沙夜子（みしま さよこ）,ああっ女神さまっ,
青嶋 紀元（あおしま としゆき）,ああっ女神さまっ,
榊原 志保（さかきばら しほ）,ああっ女神さまっ,
矢間野 里子（やまの さとこ）,ああっ女神さまっ,
泉 梢子（いずみ こずえこ）,ああっ女神さまっ,
須々木（すすき）,ああっ女神さまっ,
矢間野 正元（やまの まさもと）,ああっ女神さまっ,
角田（旧姓：飛田）研二教授（かくた けんじ）,ああっ女神さまっ,
大沢教授（おおさわ）,ああっ女神さまっ,
諸隅 公一（もろずみ こういち）,ああっ女神さまっ,
越庵（こしあん）,ああっ女神さまっ,
川西 仙太郎（かわにし せんたろう）,ああっ女神さまっ,
聖（ひじり）,ああっ女神さまっ,
吉田 晶平（よしだ しょうへい）,ああっ女神さまっ,
伊多良 絵里（いたら えり）,ああっ女神さまっ,
多須賀（たすが）,ああっ女神さまっ,
島野勇希 （しまの ゆうき）,ああっ女神さまっ,
古河麻里子（ふるかわ まりこ）,ああっ女神さまっ,
前園（まえぞの）,ああっ女神さまっ,
ニンジャマスター,ああっ女神さまっ,
幻惑の木霊（げんわくのこだま）,ああっ女神さまっ,
閃光の火狩（せんこうのひかり）,ああっ女神さまっ,
千里眼の覗見（せんりがんののぞみ）,ああっ女神さまっ,
三級地霊（さんきゅうじれい）,ああっ女神さまっ,
恐怖の大王,ああっ女神さまっ,
本田 智恵子（ほんだ ちえこ）,ああっ女神さまっ,
岩田 みつお（いわた みつお）（岩ちゃん／がんちゃん）,ああっ女神さまっ,
ばんぺいくん,ああっ女神さまっ,
シーグル［Sigel］,ああっ女神さまっ,
ストリングフェローホーキ,ああっ女神さまっ,
グリューエンデスヘルツ,ああっ女神さまっ,
ゲート［Gate］,ああっ女神さまっ,
ローレライの一族,ああっ女神さまっ,
天使喰い（てんしぐい）,ああっ女神さまっ,
銀時計の精（ぎんどけいのせい）,ああっ女神さまっ,
アンソニー・エドワード・スターク/アイアンマン,アイアンマン,2
ハッピー（Happy）,アイアンマン,
ペッパー（Pepper）,アイアンマン,
エドウィン・ジャービス（Edwin Jarvis）,アイアンマン,
ウォーマシン（War Machine）,アイアンマン,
ダミー（DUMMY / DUM-E）,アイアンマン,
ユー（YOU / U）,アイアンマン,
バターフィンガー（Butterfingers）,アイアンマン,
アベンジャーズ（Avengers）,アイアンマン,
イルミナティ（Illuminati）,アイアンマン,
エディー・マーチ,アイアンマン,
ミカエル・オブライエン,アイアンマン,
テムジン,アイアンマン,
モーガン・スターク,アイアンマン,
アイアンマン2020 / アーノ・スターク,アイアンマン,
グレゴール・シャパンカ / ジャックフロスト / 初代ブリザード,アイアンマン,
アイアンモンガー / アバディア・スティン,アイアンマン,
クリムゾン・カウル,アイアンマン,
ドニー・ギル / 2代目ブリザード,アイアンマン,
アーサー・パークス / リビング・レーザー,アイアンマン,
マーク・スカーロッティ / ウィップラッシュ / ブラックラッシュ,アイアンマン,
クリムゾン・ダイナモ,アイアンマン,
チタニウムマン / ボリス・ブルスキー,アイアンマン,
マダム・マスク,アイアンマン,
スパイマスター,アイアンマン,
ドレッドノート,アイアンマン,
ドクター・ドゥーム / ヴィクター・フォン・ドゥーム,アイアンマン,
フィン・ファン・フーム,アイアンマン,
ウルティモ,アイアンマン,
ラヂオアクティブマン / チェン・ルー,アイアンマン,
トニー・スターク/アイアンマン,アイアンマン,
ジム・ローディス/ウォーマシン,アイアンマン,
ホーマー,アイアンマン,
クリントン・バートン/ホークアイ,アイアンマン,
センチュリー,アイアンマン,
ジュリア・カーペインター/スパイダー（スパイダーウーマン）,アイアンマン,
ワンダ・フランク/レディマジック（スカーレットウィッチ）,アイアンマン,
マンダリン,アイアンマン,
モードック,アイアンマン,
ジャスティン・ハマー,アイアンマン,
ドレッドナイト,アイアンマン,
ミステリア（原語ではヒュプノシア）,アイアンマン,
リビングレーザー,アイアンマン,
ブリザード,アイアンマン,
ブラックロッド（原語ではブラックラッシュ）,アイアンマン,
トルネード（原語ではウィールウインド）,アイアンマン,
エイムの黒幕（ゲスト）,アイアンマン,
ひげ面の連れの女（ゲスト）,アイアンマン,
フィン・ファン・フーン,アイアンマン,
イン・セン（原語ではウェリントン・インセン）（ゲスト）,アイアンマン,
ハワード・ウォーカー・スターク（トニーの父）（ゲスト）,アイアンマン,
ポール・ピエール・デュバル/ガーゴイル（グレイ・ガーゴイル）,アイアンマン,
レイチェル・カーペインター（ゲスト）,アイアンマン,
ゴースト（ゲスト）,アイアンマン,
