キャラクター名,アニメタイトル
イーグルサム,イーグルサム
カナリー・カリーナ,イーグルサム
グズラン,イーグルサム
アルバトロス署長,イーグルサム
チッチ,イーグルサム
ボギー巡査,イーグルサム
ソクラテス,イーグルサム
サンダーバード先生,イーグルサム
ゴキブリゴクロウ,イーグルサム
鶴之介,イーグルサム
ペリカン先生,イーグルサム
いみじく先生,イーグルサム
レミ・バルブラン,家なき子レミ
ヴィタリス,家なき子レミ
ジョリクール,家なき子レミ
カピ,家なき子レミ
ゼルビーノ,家なき子レミ
ドルチェ,家なき子レミ
サンドラ,家なき子レミ
ルーセット,家なき子レミ
アンヌ・バルブラン,家なき子レミ
ナナ・バルブラン,家なき子レミ
ジェローム・バルブラン,家なき子レミ
ミリガン夫人,家なき子レミ
アーサー,家なき子レミ
ネリー,家なき子レミ
プレル弁護士,家なき子レミ
ガスパール,家なき子レミ
マチア,家なき子レミ
リカルド,家なき子レミ
アルベール,家なき子レミ
マリア,家なき子レミ
マルセル,家なき子レミ
ジャック,家なき子レミ
リーズ,家なき子レミ
ルコント,家なき子レミ
ポリネール,家なき子レミ
ジャン,家なき子レミ
ナナにそっくりな女の子とその父,家なき子レミ
ルネ,家なき子レミ
コラール,家なき子レミ
ピエール,家なき子レミ
ニーナ,家なき子レミ
エマ,家なき子レミ
ジェラール,家なき子レミ
お金持ちの夫妻,家なき子レミ
アンドレ,家なき子レミ
サラ,家なき子レミ
エミール,家なき子レミ
ビクトル,家なき子レミ
ジジ,家なき子レミ
ミミ,家なき子レミ
ビゴー,家なき子レミ
ナヴァール,家なき子レミ
巡査長,家なき子レミ
ポール,家なき子レミ
コゼット,家なき子レミ
コゼットの両親,家なき子レミ
医師,家なき子レミ
ジャンヌ,家なき子レミ
ジャンヌの父,家なき子レミ
ベルグヌー,家なき子レミ
アルベルト,家なき子レミ
ガスパールの悪友,家なき子レミ
伊賀野影丸（いがの かげまる）,伊賀野カバ丸
大久保麻衣（おおくぼ まい）,伊賀野カバ丸
目白沈寝（めじろ しずね）,伊賀野カバ丸
野々草かおる（ののぐさ かおる）,伊賀野カバ丸
霧野疾風（きりの はやて）,伊賀野カバ丸
大久保蘭（おおくぼ らん）,伊賀野カバ丸
伊賀野才蔵（いがの さいぞう）,伊賀野カバ丸
松野好（まつの すう）,伊賀野カバ丸
前島秀（まえじま しゅう）,伊賀野カバ丸
教頭,伊賀野カバ丸
白川（しらかわ）,伊賀野カバ丸
すみれ,伊賀野カバ丸
堀田（ほった）,伊賀野カバ丸
大木（おおき）,伊賀野カバ丸
高田（たかだ）,伊賀野カバ丸
柳（やなぎ）,伊賀野カバ丸
遠野塁（とおの るい）,伊賀野カバ丸
