chara,title,
神名綾人（かみな あやと）,ラーゼフォン,40
紫東遙（しとう はるか）,ラーゼフォン,
美嶋玲香（みしま れいか）,ラーゼフォン,
如月久遠（きさらぎ くおん）,ラーゼフォン,
紫東恵（しとう めぐみ）,ラーゼフォン,
如月樹（きさらぎ いつき）,ラーゼフォン,
キム・ホタル（金 湖月）,ラーゼフォン,
八雲総一（やぐも そういち）,ラーゼフォン,
五味勝（ごみ まさる）,ラーゼフォン,
四方田洋平（よもだ ようへい）,ラーゼフォン,
七森小夜子（ななもり さよこ）,ラーゼフォン,
功刀仁（くぬぎ じん）,ラーゼフォン,
亘理士郎（わたり しろう）,ラーゼフォン,
ハルカ,ラーゼフォン,
エルフィ・ハディヤット,ラーゼフォン,
キャシー・マクマホン,ラーゼフォン,
ドニー・ウォン,ラーゼフォン,
ジャン・パトリック・シャプラン,ラーゼフォン,
朝比奈浩子（あさひな ひろこ）,ラーゼフォン,
鳥飼守（とりがい まもる）,ラーゼフォン,
神名麻弥（かみな まや）,ラーゼフォン,
九鬼正義（くき まさよし）,ラーゼフォン,
三輪忍（みわ しのぶ）,ラーゼフォン,
一色真（いっしき まこと）,ラーゼフォン,
ヘレナ・バーベム,ラーゼフォン,
エルンスト・フォン・バーベム,ラーゼフォン,
六道翔吾（りくどう しょうご）,ラーゼフォン,
弐神譲二（ふたがみ じょうじ）/ 十文字猛（じゅうもんじ たける）,ラーゼフォン,
ブチ,ラーゼフォン,
小泉さん（こいずみさん）,ラーメン大好き小泉さん,40
大澤 悠（おおさわ ゆう）,ラーメン大好き小泉さん,
中村 美沙（なかむら みさ）,ラーメン大好き小泉さん,
高橋 潤（たかはし じゅん）,ラーメン大好き小泉さん,
大澤 修（おおさわ しゅう）,ラーメン大好き小泉さん,
大澤 絢音（おおさわ あやね）,ラーメン大好き小泉さん,
山田先生（やまだせんせい）,ラーメン大好き小泉さん,
小川 乃愛（おがわ のあ）,ラーメン大好き小泉さん,
ハナ,ラーメン大好き小泉さん,
中谷,ラーメン大好き小泉さん,
小林,ラーメン大好き小泉さん,
高木,ラーメン大好き小泉さん,
中村 ケンタ（なかむら ケンタ）,ラーメン大好き小泉さん,
らいむ隊,らいむいろ戦奇譚,40
泉こなた（いずみ こなた）,らき☆すた,40
柊つかさ（ひいらぎ つかさ）,らき☆すた,
柊かがみ（ひいらぎ かがみ）,らき☆すた,
高良みゆき（たから みゆき）,らき☆すた,
日下部みさお（くさかべ みさお）,らき☆すた,
峰岸あやの（みねぎし あやの）,らき☆すた,
白石みのる,らき☆すた,
桜藤祭主人公,らき☆すた,
八坂こう（やさか こう）,らき☆すた,
永森やまと（ながもり やまと）,らき☆すた,
山辺たまき（やまのべ たまき）,らき☆すた,
毒島みく（ぶすじま みく）,らき☆すた,
小早川ゆたか（こばやかわ ゆたか）,らき☆すた,
岩崎みなみ（いわさき みなみ）,らき☆すた,
田村ひより（たむら ひより）,らき☆すた,
パトリシア・マーティン (Patricia Martin),らき☆すた,
若瀬いずみ（わかせ いずみ）,らき☆すた,
黒井ななこ（くろい ななこ）,らき☆すた,
桜庭ひかる（さくらば ひかる）,らき☆すた,
天原ふゆき（あまはら ふゆき）,らき☆すた,
泉そうじろう（いずみ そうじろう）,らき☆すた,
泉かなた（いずみ かなた）,らき☆すた,
小早川ゆき（こばやかわ ゆき）,らき☆すた,
成実ゆい（なるみ ゆい）,らき☆すた,
成実きよたか（なるみ きよたか）,らき☆すた,
柊ただお（ひいらぎ ただお）,らき☆すた,
柊みき（ひいらぎ みき）,らき☆すた,
柊いのり（ひいらぎ いのり）,らき☆すた,
柊まつり（ひいらぎ まつり）,らき☆すた,
高良ゆかり（たから ゆかり）,らき☆すた,
岩崎ほのか（いわさき ほのか）,らき☆すた,
チェリー,らき☆すた,
日下部兄（しゅう君）,らき☆すた,
小神あきら（こがみ あきら）,らき☆すた,
桜庭ひかる,らき☆すた,
白石みのる（しらいし みのる）,らき☆すた,
小野だいすけ（おの だいすけ）,らき☆すた,
ゴットゥーザ様（ゴットゥーザさま）,らき☆すた,
にゃんだろうくん,らき☆すた,
大神ちひろ（おおがみ ちひろ）,らき☆すた,
小神 あきら,らき☆すた,
大原まどか（おおはら まどか）,らき☆すた,
中谷あくる（なかたに あくる）,らき☆すた,
音無りんこ（おとなし りんこ）,らき☆すた,
宮河ひなた（みやかわ ひなた）,らき☆すた,
宮河ひかげ（みやかわ ひかげ）,らき☆すた,
兄沢命斗（あにざわ めいと）,らき☆すた,
星井ラミカ（ほしい らみか）,らき☆すた,
高橋豊（たかはし ゆたか）,らき☆すた,
杉田店員（すぎたてんいん）,らき☆すた,
鳥工作（とり こうさく）,らき☆すた,
美虎ちゃん,らき☆すた,
デ・ジ・キャラット（でじこ）,らき☆すた,
びんちょうタン,らき☆すた,
初音ミク,らき☆すた,
にゃもー,らき☆すた,
コナタ,らき☆すた,
チュン,らき☆すた,
長瀞なぎさ（ながとろ なぎさ）,らき☆すた,
東松山あおい（ひがしまつやま あおい）,らき☆すた,
越谷ちなみ（こしがや ちなみ）,らき☆すた,
ブラスター木野（きの）,らき☆すた,
飛ばしや川井（とばしや かわい）,らき☆すた,
エンジェル尾崎（おざき）,らき☆すた,
カミソリ相崎（あいざき）,らき☆すた,
MC森雅紀（エムシー もり まさのり）,らき☆すた,
演劇部部長,らき☆すた,
